token_embedding.weight                              | (50258, 768) | embedding
transformer_blocks.layers[10].expand_fc.bias        | (3072,)      | vec_b
transformer_blocks.layers[10].reduce_fc.weight      | (768, 3072)  | mat
transformer_blocks.layers[10].reduce_fc.bias        | (768,)       | vec_b
transformer_blocks.layers[11].ln1.weight            | (768,)       | vec_w
transformer_blocks.layers[11].ln1.bias              | (768,)       | vec_b
transformer_blocks.layers[11].attn.attn_fc.weight   | (2304, 768)  | attn_w
transformer_blocks.layers[11].attn.attn_fc.bias     | (2304,)      | attn_b
transformer_blocks.layers[11].attn.linear.weight    | (768, 768)   | mat
transformer_blocks.layers[11].attn.linear.bias      | (768,)       | vec_b
transformer_blocks.layers[11].ln2.weight            | (768,)       | vec_w
transformer_blocks.layers[11].ln2.bias              | (768,)       | vec_b
transformer_blocks.layers[11].expand_fc.weight      | (3072, 768)  | mat
transformer_blocks.layers[11].expand_fc.bias        | (3072,)      | vec_b
transformer_blocks.layers[11].reduce_fc.weight      | (768, 3072)  | mat
transformer_blocks.layers[11].reduce_fc.bias        | (768,)       | vec_b
ln.weight                                           | (768,)       | vec_w
ln.bias                                             | (768,)       | vec_b
head.weight                                         | (50258, 768) | head
